면적,층수,구,동,년수,가격,브랜드,등급
84.99,18,금천구,시흥동,24,5.39,기타,A
59.96,5,서초구,신원동,10,10.8,기타,A
59.82,17,금천구,독산동,22,5.45,기타,C
84.99,7,강남구,자곡동,10,14.8,기타,C
59.96,29,강남구,개포동,4,18.7,래미안,A
59.81,20,강남구,개포동,5,21.7,기타,C
101.97,13,강남구,일원동,30,17.1,기타,A
84.87,12,관악구,봉천동,24,9.8,기타,B
59.58,5,관악구,봉천동,20,6.9,기타,B
59.58,5,관악구,봉천동,20,6.9,기타,B
114.94,2,동작구,사당동,25,9.15,자이,C
46.75,13,동작구,사당동,31,6.85,기타,B
59.98,9,송파구,거여동,3,11.3,롯데캐슬,B
84.99,9,구로구,개봉동,23,8,기타,B
84.87,9,구로구,구로동,38,8.2,기타,C
59.78,19,강남구,역삼동,14,18.8,래미안,B
84.91,8,강남구,역삼동,18,23.5,기타,C
113.43,11,구로구,오류동,26,6.17,기타,C
13.74,14,영등포구,신길동,11,0.9,기타,A
112.29,15,동작구,흑석동,36,18,기타,B
107.39,8,서초구,잠원동,45,28.3,기타,B
84.84,5,동작구,본동,20,9.4,기타,A
16.2,6,강남구,논현동,11,2.1,기타,A
71.64,7,양천구,신정동,36,13.95,기타,C
84.55,4,영등포구,문래동5가,33,7.25,기타,B
51.67,11,양천구,신월동,18,4.2,기타,B
121.63,12,송파구,신천동,16,25.5,기타,C
84.14,13,양천구,신월동,19,6.3,기타,A
59.88,13,양천구,목동,27,10.9,기타,A
